ID;BESTLOC;GRAMS;portion;EUFDNAME
136;1.282;345;4.4229;NT
136;0.114;345;0.3933;OA
136;119.5;345;412.275;P
136;8.01;345;27.6345;PROT
136;0.22;345;0.759;PSACNCS
136;0.82;345;2.829;QUERCE
136;32.63;345;112.5735;RETOL
136;0.097;345;0.33465;RIBF
136;7.126;345;24.5847;SE
136;11.38;345;39.261;STARCH
136;17.47;345;60.2715;STERT
136;0.137;345;0.47265;SUCS
136;2.164;345;7.4658;SUGAR
136;0;345;0;SUGOH
136;0.0546;345;0.18837;THIA
136;107;345;369;TRP
136;36.093;345;124.52085;VITA
136;0.39;345;1.3455;VITB12
136;3.04;345;10.488;VITC
136;0.334;345;1.1523;VITD
136;0.561;345;1.93545;VITE
136;4.122;345;14.2209;VITK
136;0.11;345;0.3795;VITPYRID
136;63.04;345;217.488;WATER
136;1.293;345;4.46085;ZN
148;0;8;0;ALC
148;0.3;8;0.024;ASH
148;6;8;0;CA
148;63.5;8;5.08;CAROTENS
148;12.19;8;0.9752;CARTB
148;38;8;3;CHOAVL
148;50.3;8;4.024;CHOCDF
148;0;8;0;CHOLE
148;3;8;0;CR
148;0.04;8;0.0032;CU
148;678.13;8;54.2504;ENERC
148;8.45;8;0.676;F16D0T
148;9.589;8;0.76712;F18D1T
148;28.855;8;2.3084;F18D2CN6
148;28.338;8;2.26704;F18D3N3
148;0;8;0;F20D4N6
148;0;8;0;F20D5N3
148;0;8;0;F22D6N3
148;0.083;8;0.00664;FACIDCTG
148;0.08;8;0.0064;FAFRE
148;0.0099;8;0.000792;FAMCIS
148;0.058;8;0.00464;FAPU
148;0.0285;8;0.00228;FAPUN3
148;0.029;8;0.00232;FAPUN6
148;0.0009;8;7.2e-05;FAS18
